website,language,domain
https://www.linkedin.com/,english,social_media
https://www.tiktok.com/,english,social_media

https://www.youtube.com/,english,multimedia
https://www.twitch.com/,english,multimedia
https://www.netflix.com/,english,multimedia
https://www.spotify.com/,english,multimedia
https://www.coursera.org/,english,multimedia

https://www.webmd.com/,english,health
https://www.mojalekaren.sk/,slovak,health

https://www.mail.google.com/,english,communication
https://www.outlook.live.com/,english,communication
https://www.centrum.sk/,slovak,communication

https://www.ubereats.com/,english,logistics
https://www.bolt.eu/,english,logistics
https://www.wolt.com/,english,logistics
https://www.ups.com/,english,logistics
https://www.dhl.com/,english,logistics

https://www.booking.com/,english,travel
https://www.zssk.sk/,slovak,travel

https://www.calendar.google.com/,english,productivity
https://www.docs.google.com/,english,productivity
https://www.notion.so/,english,productivity

https://www.bloomberg.com/,english,news
https://www.aktuality.sk/,slovak,news
https://www.dennikn.sk/minuta/,slovak,news
https://www.zoznam.sk/,slovak,news

https://www.amazon.co.uk/,english,marketplace
https://www.nehnutelnosti.sk/,slovak,marketplace
https://www.heureka.sk/,slovak,marketplace
https://www.bazos.sk/,slovak,marketplace
https://www.alza.sk/,slovak,marketplace

https://www.slovensko.sk/,slovak,misc
https://www.profesia.sk/,slovak,misc
